component,location,carrier,0
Generator,AT0 9,urban decentral heat vent,0.7642233309813465
Generator,AT0 9,urban decentral solar thermal,
Generator,EU,biogas,0.0
Generator,EU,gas,0.42616121633823945
Generator,EU,oil primary,0.9999999810672504
Generator,EU,solid biomass,8.914699691979948e-05
StorageUnit,AT0 0,hydro,0.25256999999999996
StorageUnit,AT0 1,PHS,8.350730688935283e-07
StorageUnit,AT0 1,hydro,0.46751888211382114
StorageUnit,AT0 11,PHS,8.967851099830795e-07
StorageUnit,AT0 11,hydro,0.03379659522517634
StorageUnit,AT0 12,hydro,0.22997399999999998
StorageUnit,AT0 13,hydro,0.23626540229885057
StorageUnit,AT0 15,PHS,0.0083082
StorageUnit,AT0 15,hydro,0.24785821428571428
StorageUnit,AT0 16,PHS,0.008305927601809955
StorageUnit,AT0 16,hydro,0.3678469789227166
StorageUnit,AT0 18,PHS,0.1039123017271766
StorageUnit,AT0 18,hydro,0.12127837197049525
StorageUnit,AT0 19,hydro,0.23957892523364485
StorageUnit,AT0 21,hydro,0.463605
StorageUnit,AT0 22,hydro,0.2330858536585366
StorageUnit,AT0 24,hydro,0.2556216666666667
StorageUnit,AT0 3,hydro,0.26784175508002156
StorageUnit,AT0 5,PHS,5.571565802113352e-07
StorageUnit,AT0 5,hydro,8.573232323232323e-05
StorageUnit,AT0 6,hydro,0.27552482412060303
StorageUnit,AT0 7,PHS,4.591429331913761e-07
StorageUnit,AT0 7,hydro,0.1865328956007879
