component,location,carrier,0
Link,AT0 16,home battery charger,0.0001
Link,AT0 16,home battery discharger,0.0001
Link,AT0 16,methanolisation,0.00336
Link,AT0 16,rural air heat pump,0.0
Link,AT0 16,rural ground heat pump,0.0
Link,AT0 16,rural resistive heater,1127.22807
Link,AT0 16,rural water tanks charger,0.00075
Link,AT0 16,rural water tanks discharger,0.00075
Link,AT0 16,urban decentral air heat pump,0.0
Link,AT0 16,urban decentral resistive heater,13.52272
Link,AT0 16,urban decentral water tanks charger,0.00075
Link,AT0 16,urban decentral water tanks discharger,0.00075
Link,AT0 17,BEV charger,1383.1155
Link,AT0 17,DAC,0.0
Link,AT0 17,Fischer-Tropsch,3e-05
Link,AT0 17,H2 Electrolysis,0.00037
Link,AT0 17,H2 Fuel Cell,1e-05
Link,AT0 17,H2 pipeline,0.00365
Link,AT0 17,Sabatier,1e-05
Link,AT0 17,V2G,691.55775
Link,AT0 17,battery charger,0.00014
Link,AT0 17,battery discharger,0.00014
Link,AT0 17,electricity distribution grid,0.00017
Link,AT0 17,home battery charger,0.0001
Link,AT0 17,home battery discharger,0.0001
Link,AT0 17,methanolisation,0.00041
Link,AT0 17,rural air heat pump,0.0
Link,AT0 17,rural ground heat pump,0.0
Link,AT0 17,rural resistive heater,1086.73762
Link,AT0 17,rural water tanks charger,0.00076
Link,AT0 17,rural water tanks discharger,0.00076
Link,AT0 17,urban decentral air heat pump,0.0
Link,AT0 17,urban decentral resistive heater,3.49328
Link,AT0 17,urban decentral water tanks charger,0.00076
Link,AT0 17,urban decentral water tanks discharger,0.00076
Link,AT0 18,BEV charger,1367.33581
Link,AT0 18,DAC,0.0
Link,AT0 18,Fischer-Tropsch,2e-05
Link,AT0 18,H2 Electrolysis,0.00342
Link,AT0 18,H2 Fuel Cell,1e-05
Link,AT0 18,H2 pipeline,0.00362
Link,AT0 18,Sabatier,1e-05
Link,AT0 18,V2G,683.66791
Link,AT0 18,battery charger,0.00014
Link,AT0 18,battery discharger,0.00014
Link,AT0 18,electricity distribution grid,0.00016
Link,AT0 18,home battery charger,0.0001
Link,AT0 18,home battery discharger,0.0001
Link,AT0 18,methanolisation,0.00198
Link,AT0 18,rural air heat pump,0.0
Link,AT0 18,rural ground heat pump,0.0
Link,AT0 18,rural resistive heater,236.60652
Link,AT0 18,rural water tanks charger,0.00076
Link,AT0 18,rural water tanks discharger,0.00076
Link,AT0 18,urban central air heat pump,1e-05
Link,AT0 18,urban central ptes heat pump,1e-05
Link,AT0 18,urban central resistive heater,600.87617
Link,AT0 18,urban central water pits charger,0.00039
Link,AT0 18,urban central water pits discharger,0.00039
Link,AT0 18,urban central water tanks charger,0.00021
Link,AT0 18,urban central water tanks discharger,0.00021
Link,AT0 18,urban decentral air heat pump,0.0
Link,AT0 18,urban decentral resistive heater,60.47896
Link,AT0 18,urban decentral water tanks charger,0.00076
Link,AT0 18,urban decentral water tanks discharger,0.00076
Link,AT0 19,BEV charger,2554.72015
Link,AT0 19,DAC,0.0
Link,AT0 19,Fischer-Tropsch,2e-05
Link,AT0 19,H2 Electrolysis,0.00075
Link,AT0 19,H2 Fuel Cell,1e-05
Link,AT0 19,H2 pipeline,0.00501
Link,AT0 19,Sabatier,1e-05
Link,AT0 19,V2G,1277.36008
Link,AT0 19,battery charger,0.00014
