cost,component,location,carrier,0
capital,Link,AT0 1,urban central resistive heater,11123109.52208
capital,Link,AT0 1,urban central water pits charger,0.0
capital,Link,AT0 1,urban central water pits discharger,0.0
capital,Link,AT0 1,urban central water tanks charger,0.0
capital,Link,AT0 1,urban central water tanks discharger,0.0
capital,Link,AT0 1,urban decentral air heat pump,1.86645
capital,Link,AT0 1,urban decentral resistive heater,513402.42195
capital,Link,AT0 1,urban decentral water tanks charger,0.0
capital,Link,AT0 1,urban decentral water tanks discharger,0.0
capital,Link,AT0 10,BEV charger,0.0
capital,Link,AT0 10,DAC,4.43296
capital,Link,AT0 10,Fischer-Tropsch,1.67568
capital,Link,AT0 10,H2 Electrolysis,312.95754
capital,Link,AT0 10,H2 Fuel Cell,0.90432
capital,Link,AT0 10,H2 pipeline,3208.17018
capital,Link,AT0 10,Sabatier,1.00352
capital,Link,AT0 10,V2G,0.0
capital,Link,AT0 10,battery charger,3.40606
capital,Link,AT0 10,battery discharger,0.0
capital,Link,AT0 10,electricity distribution grid,11.20138
capital,Link,AT0 10,home battery charger,3.35896
capital,Link,AT0 10,home battery discharger,0.0
capital,Link,AT0 10,methanolisation,103.73601
capital,Link,AT0 10,rural air heat pump,2.13004
capital,Link,AT0 10,rural ground heat pump,2.24562
capital,Link,AT0 10,rural resistive heater,1355294.70618
capital,Link,AT0 10,rural water tanks charger,0.0
capital,Link,AT0 10,rural water tanks discharger,0.0
capital,Link,AT0 10,urban central air heat pump,2.56294
capital,Link,AT0 10,urban central ptes heat pump,1.69249
capital,Link,AT0 10,urban central resistive heater,2880534.28962
capital,Link,AT0 10,urban central water pits charger,0.0
capital,Link,AT0 10,urban central water pits discharger,0.0
capital,Link,AT0 10,urban central water tanks charger,0.0
capital,Link,AT0 10,urban central water tanks discharger,0.0
capital,Link,AT0 10,urban decentral air heat pump,2.12768
capital,Link,AT0 10,urban decentral resistive heater,3540684.0874
capital,Link,AT0 10,urban decentral water tanks charger,0.0
capital,Link,AT0 10,urban decentral water tanks discharger,0.0
capital,Link,AT0 11,BEV charger,0.0
capital,Link,AT0 11,DAC,4.80601
capital,Link,AT0 11,Fischer-Tropsch,1.64832
capital,Link,AT0 11,H2 Electrolysis,2257.0195
capital,Link,AT0 11,H2 Fuel Cell,0.89813
capital,Link,AT0 11,H2 pipeline,6.32358
capital,Link,AT0 11,Sabatier,0.99915
capital,Link,AT0 11,V2G,0.0
capital,Link,AT0 11,battery charger,3.41753
capital,Link,AT0 11,battery discharger,0.0
capital,Link,AT0 11,electricity distribution grid,4.01047
capital,Link,AT0 11,home battery charger,3.4677
capital,Link,AT0 11,home battery discharger,0.0
capital,Link,AT0 11,methanolisation,572.44164
capital,Link,AT0 11,rural air heat pump,1.87486
capital,Link,AT0 11,rural ground heat pump,1.8719
capital,Link,AT0 11,rural resistive heater,3799815.29
capital,Link,AT0 11,rural water tanks charger,0.0
capital,Link,AT0 11,rural water tanks discharger,0.0
capital,Link,AT0 11,urban central air heat pump,1.82579
capital,Link,AT0 11,urban central ptes heat pump,1.84413
capital,Link,AT0 11,urban central resistive heater,3273874.88782
capital,Link,AT0 11,urban central water pits charger,0.0
capital,Link,AT0 11,urban central water pits discharger,0.0
capital,Link,AT0 11,urban central water tanks charger,0.0
capital,Link,AT0 11,urban central water tanks discharger,0.0
capital,Link,AT0 11,urban decentral air heat pump,1.86823
capital,Link,AT0 11,urban decentral resistive heater,8898.46614
capital,Link,AT0 11,urban decentral water tanks charger,0.0
capital,Link,AT0 11,urban decentral water tanks discharger,0.0
capital,Link,AT0 12,BEV charger,0.0
capital,Link,AT0 12,DAC,4.66001
capital,Link,AT0 12,Fischer-Tropsch,1.65324
capital,Link,AT0 12,H2 Electrolysis,42.08904
