cost,component,location,carrier,0
capital,Link,AT0 0,urban central resistive heater,2597475.00559
capital,Link,AT0 0,urban central water pits charger,0.0
capital,Link,AT0 0,urban central water pits discharger,0.0
capital,Link,AT0 0,urban central water tanks charger,0.0
capital,Link,AT0 0,urban central water tanks discharger,0.0
capital,Link,AT0 0,urban decentral air heat pump,1.60319
capital,Link,AT0 0,urban decentral resistive heater,3254948.77675
capital,Link,AT0 0,urban decentral water tanks charger,0.0
capital,Link,AT0 0,urban decentral water tanks discharger,0.0
capital,Link,AT0 1,BEV charger,0.0
capital,Link,AT0 1,DAC,4.39233
capital,Link,AT0 1,Fischer-Tropsch,1778.45558
capital,Link,AT0 1,H2 Electrolysis,16385.37216
capital,Link,AT0 1,H2 Fuel Cell,0.76422
capital,Link,AT0 1,H2 pipeline,8.04056
capital,Link,AT0 1,Sabatier,1.06443
capital,Link,AT0 1,V2G,0.0
capital,Link,AT0 1,battery charger,2.81927
capital,Link,AT0 1,battery discharger,0.0
capital,Link,AT0 1,electricity distribution grid,3.2968
capital,Link,AT0 1,home battery charger,2.87558
capital,Link,AT0 1,home battery discharger,0.0
capital,Link,AT0 1,methanolisation,2200.29208
capital,Link,AT0 1,rural air heat pump,1.51399
capital,Link,AT0 1,rural ground heat pump,1.51319
capital,Link,AT0 1,rural resistive heater,1939422.04668
capital,Link,AT0 1,rural water tanks charger,0.0
capital,Link,AT0 1,rural water tanks discharger,0.0
capital,Link,AT0 1,urban central air heat pump,1.48736
capital,Link,AT0 1,urban central ptes heat pump,1.49829
capital,Link,AT0 1,urban central resistive heater,11123109.57546
capital,Link,AT0 1,urban central water pits charger,0.0
capital,Link,AT0 1,urban central water pits discharger,0.0
capital,Link,AT0 1,urban central water tanks charger,0.0
capital,Link,AT0 1,urban central water tanks discharger,0.0
capital,Link,AT0 1,urban decentral air heat pump,1.51578
capital,Link,AT0 1,urban decentral resistive heater,513402.44496
capital,Link,AT0 1,urban decentral water tanks charger,0.0
capital,Link,AT0 1,urban decentral water tanks discharger,0.0
capital,Link,AT0 10,BEV charger,0.0
capital,Link,AT0 10,DAC,3.98502
capital,Link,AT0 10,Fischer-Tropsch,11732395.76151
capital,Link,AT0 10,H2 Electrolysis,49531553.16513
capital,Link,AT0 10,H2 Fuel Cell,0.76898
capital,Link,AT0 10,H2 pipeline,5.18186
capital,Link,AT0 10,Sabatier,1.06477
capital,Link,AT0 10,V2G,0.0
capital,Link,AT0 10,battery charger,2.80651
capital,Link,AT0 10,battery discharger,0.0
capital,Link,AT0 10,electricity distribution grid,13.82416
capital,Link,AT0 10,home battery charger,2.77318
capital,Link,AT0 10,home battery discharger,0.0
capital,Link,AT0 10,methanolisation,11.00535
capital,Link,AT0 10,rural air heat pump,1.76013
capital,Link,AT0 10,rural ground heat pump,1.88636
capital,Link,AT0 10,rural resistive heater,1355294.8046
capital,Link,AT0 10,rural water tanks charger,0.0
capital,Link,AT0 10,rural water tanks discharger,0.0
capital,Link,AT0 10,urban central air heat pump,2.20663
capital,Link,AT0 10,urban central ptes heat pump,1.37347
capital,Link,AT0 10,urban central resistive heater,2771451.56898
capital,Link,AT0 10,urban central water pits charger,0.0
capital,Link,AT0 10,urban central water pits discharger,0.0
capital,Link,AT0 10,urban central water tanks charger,0.0
capital,Link,AT0 10,urban central water tanks discharger,0.0
capital,Link,AT0 10,urban decentral air heat pump,1.77437
capital,Link,AT0 10,urban decentral resistive heater,3540684.16856
capital,Link,AT0 10,urban decentral water tanks charger,0.0
capital,Link,AT0 10,urban decentral water tanks discharger,0.0
capital,Link,AT0 11,BEV charger,0.0
capital,Link,AT0 11,DAC,4.40282
capital,Link,AT0 11,Fischer-Tropsch,1303.0717
capital,Link,AT0 11,H2 Electrolysis,12774.35429
capital,Link,AT0 11,H2 Fuel Cell,0.76375
capital,Link,AT0 11,H2 pipeline,5.26453
capital,Link,AT0 11,Sabatier,1.06444
capital,Link,AT0 11,V2G,0.0
capital,Link,AT0 11,battery charger,2.819
capital,Link,AT0 11,battery discharger,0.0
capital,Link,AT0 11,electricity distribution grid,3.29295
capital,Link,AT0 11,home battery charger,2.87306
capital,Link,AT0 11,home battery discharger,0.0
capital,Link,AT0 11,methanolisation,1809.7884
capital,Link,AT0 11,rural air heat pump,1.51478
capital,Link,AT0 11,rural ground heat pump,1.51775
capital,Link,AT0 11,rural resistive heater,3799815.36598
capital,Link,AT0 11,rural water tanks charger,0.0
capital,Link,AT0 11,rural water tanks discharger,0.0
capital,Link,AT0 11,urban central air heat pump,1.48384
capital,Link,AT0 11,urban central ptes heat pump,1.49434
capital,Link,AT0 11,urban central resistive heater,3273874.95045
capital,Link,AT0 11,urban central water pits charger,0.0
capital,Link,AT0 11,urban central water pits discharger,0.0
capital,Link,AT0 11,urban central water tanks charger,0.0
